onset	duration	trial_type	value	sample
1.63671875	0.0	ROWE	6	419
1.6796875	0.0	ROWS	7	430
5.69921875	0.0	ROWE	6	1459
5.7265625	0.0	ROWS	7	1466
6.0859375	0.0	ROWE	6	1558
10.0	0.0	CH01	1	2560
14.6015625	0.0	ROWS	7	3738
14.94921875	0.0	ROWE	6	3827
15.00390625	0.0	ROWS	7	3841
18.96875	0.0	ROWE	6	4856
19.02734375	0.0	ROWS	7	4871
23.19921875	0.0	ROWE	6	5939
23.265625	0.0	ROWS	7	5956
25.28515625	0.0	ROWE	6	6473
25.34375	0.0	ROWS	7	6488
29.44921875	0.0	ROWE	6	7539
29.50390625	0.0	ROWS	7	7553
33.6015625	0.0	ROWE	6	8602
33.65234375	0.0	ROWS	7	8615
35.21875	0.0	ROWE	6	9016
35.2734375	0.0	ROWS	7	9030
39.44921875	0.0	ROWE	6	10099
39.5078125	0.0	ROWS	7	10114
43.6171875	0.0	ROWE	6	11166
43.6796875	0.0	ROWS	7	11182
45.28515625	0.0	ROWE	6	11593
45.34375	0.0	ROWS	7	11608
49.46875	0.0	ROWE	6	12664
49.5234375	0.0	ROWS	7	12678
53.69921875	0.0	ROWE	6	13747
53.76171875	0.0	ROWS	7	13763
55.3671875	0.0	ROWE	6	14174
55.41015625	0.0	ROWS	7	14185
59.3671875	0.0	ROWE	6	15198
59.421875	0.0	ROWS	7	15212
60.984375	0.0	ROWE	6	15612
61.03515625	0.0	ROWS	7	15625
65.09765625	0.0	ROWE	6	16665
65.16015625	0.0	ROWS	7	16681
69.28125	0.0	ROWE	6	17736
69.40625	0.0	ROWS	7	17768
72.75	0.0	ROWE	6	18624
72.8125	0.0	ROWS	7	18640
76.9140625	0.0	ROWE	6	19690
76.9765625	0.0	ROWS	7	19706
81.08203125	0.0	ROWE	6	20757
81.1484375	0.0	ROWS	7	20774
83.6640625	0.0	ROWE	6	21418
83.7265625	0.0	ROWS	7	21434
87.83203125	0.0	ROWE	6	22485
87.89453125	0.0	ROWS	7	22501
91.73046875	0.0	ROWE	6	23483
91.796875	0.0	ROWS	7	23500
96.05078125	0.0	ROWE	6	24589
96.109375	0.0	ROWS	7	24604
100.28125	0.0	ROWE	6	25672
100.34375	0.0	ROWS	7	25688
103.21484375	0.0	ROWE	6	26423
103.2734375	0.0	ROWS	7	26438
107.3828125	0.0	ROWE	6	27490
107.4296875	0.0	ROWS	7	27502
111.3828125	0.0	ROWE	6	28514
111.4296875	0.0	ROWS	7	28526
111.78125	0.0	ROWE	6	28616
111.828125	0.0	ROWS	7	28628
115.84765625	0.0	ROWE	6	29657
115.9140625	0.0	ROWS	7	29674
120.03125	0.0	ROWE	6	30728
120.09765625	0.0	ROWS	7	30745
123.48046875	0.0	ROWE	6	31611
123.53125	0.0	ROWS	7	31624
127.69921875	0.0	ROWE	6	32691
127.7578125	0.0	ROWS	7	32706
128.94921875	0.0	ROWE	6	33011
129.0078125	0.0	ROWS	7	33026
133.11328125	0.0	ROWE	6	34077
133.17578125	0.0	ROWS	7	34093
137.28125	0.0	ROWE	6	35144
137.34375	0.0	ROWS	7	35160
139.78125	0.0	ROWE	6	35784
139.83984375	0.0	ROWS	7	35799
144.015625	0.0	ROWE	6	36868
144.078125	0.0	ROWS	7	36884
148.19921875	0.0	ROWE	6	37939
148.26171875	0.0	ROWS	7	37955
151.546875	0.0	ROWE	6	38796
151.609375	0.0	ROWS	7	38812
155.73046875	0.0	ROWE	6	39867
155.796875	0.0	ROWS	7	39884
160.1328125	0.0	ROWE	6	40994
160.19921875	0.0	ROWS	7	41011
164.46484375	0.0	ROWE	6	42103
164.53515625	0.0	ROWS	7	42121
168.86328125	0.0	ROWE	6	43229
168.9296875	0.0	ROWS	7	43246
173.1953125	0.0	ROWE	6	44338
173.265625	0.0	ROWS	7	44356
177.59765625	0.0	ROWE	6	45465
177.6640625	0.0	ROWS	7	45482
181.9296875	0.0	ROWE	6	46574
181.98828125	0.0	ROWS	7	46589
186.09765625	0.0	ROWE	6	47641
186.15625	0.0	ROWS	7	47656
188.59765625	0.0	ROWE	6	48281
188.72265625	0.0	ROWS	7	48313
192.828125	0.0	ROWE	6	49364
192.8984375	0.0	ROWS	7	49382
196.73046875	0.0	ROWE	6	50363
196.796875	0.0	ROWS	7	50380
201.0625	0.0	ROWE	6	51472
201.12109375	0.0	ROWS	7	51487
205.296875	0.0	ROWE	6	52556
205.359375	0.0	ROWS	7	52572
208.64453125	0.0	ROWE	6	53413
208.7109375	0.0	ROWS	7	53430
212.828125	0.0	ROWE	6	54484
212.890625	0.0	ROWS	7	54500
216.99609375	0.0	ROWE	6	55551
217.05859375	0.0	ROWS	7	55567
219.99609375	0.0	ROWE	6	56319
220.0546875	0.0	ROWS	7	56334
224.16015625	0.0	ROWE	6	57385
224.2265625	0.0	ROWS	7	57402
228.48046875	0.0	ROWE	6	58491
228.54296875	0.0	ROWS	7	58507
232.4296875	0.0	ROWE	6	59502
232.4921875	0.0	ROWS	7	59518
236.76171875	0.0	ROWE	6	60611
236.828125	0.0	ROWS	7	60628
241.16015625	0.0	ROWE	6	61737
241.23046875	0.0	ROWS	7	61755
244.62890625	0.0	ROWE	6	62625
244.69921875	0.0	ROWS	7	62643
248.9609375	0.0	ROWE	6	63734
249.0234375	0.0	ROWS	7	63750
253.2109375	0.0	ROWE	6	64822
253.2734375	0.0	ROWS	7	64838
255.7109375	0.0	ROWE	6	65462
255.77734375	0.0	ROWS	7	65479
260.01171875	0.0	ROWE	6	66563
260.0703125	0.0	ROWS	7	66578
264.24609375	0.0	ROWE	6	67647
264.30078125	0.0	ROWS	7	67661
265.91015625	0.0	ROWE	6	68073
