onset	duration	trial_type	value	sample
0.921	0.0	EYES	8	921
10.427	0.0	CALS	2	10427
40.527	0.0	CALE	1	40527
42.277	0.0	PRES	9	42277
42.337	0.0	ROWS	11	42337
46.293	0.0	ROWE	10	46293
46.352	0.0	ROWS	11	46352
50.46	0.0	ROWE	10	50460
50.519	0.0	ROWS	11	50519
52.593	0.0	ROWE	10	52593
52.649	0.0	ROWS	11	52649
56.793	0.0	ROWE	10	56793
56.848	0.0	ROWS	11	56848
60.96	0.0	ROWE	10	60960
61.014	0.0	ROWS	11	61014
63.076	0.0	ROWE	10	63076
63.135	0.0	ROWS	11	63135
67.293	0.0	ROWE	10	67293
67.357	0.0	ROWS	11	67357
71.626	0.0	ROWE	10	71626
71.691	0.0	ROWS	11	71691
75.959	0.0	ROWE	10	75959
76.028	0.0	ROWS	11	76028
80.343	0.0	ROWE	10	80343
80.395	0.0	ROWS	11	80395
84.392	0.0	ROWE	10	84392
84.45	0.0	ROWS	11	84450
85.609	0.0	ROWE	10	85609
85.662	0.0	ROWS	11	85662
89.626	0.0	ROWE	10	89626
89.676	0.0	ROWS	11	89676
93.625	0.0	ROWE	10	93625
93.674	0.0	ROWS	11	93674
94.892	0.0	ROWE	10	94892
94.942	0.0	ROWS	11	94942
98.892	0.0	ROWE	10	98892
98.952	0.0	ROWS	11	98952
103.059	0.0	ROWE	10	103059
103.124	0.0	ROWS	11	103124
107.275	0.0	ROWE	10	107275
107.334	0.0	ROWS	11	107334
111.491	0.0	ROWE	10	111491
111.555	0.0	ROWS	11	111555
114.009	0.0	ROWE	10	114009
114.067	0.0	ROWS	11	114067
118.175	0.0	ROWE	10	118175
118.22	0.0	ROWS	11	118220
122.241	0.0	ROWE	10	122241
122.265	0.0	ROWS	11	122265
122.625	0.0	ROWE	10	122625
126.54	0.0	CH01	3	126540
131.141	0.0	ROWS	11	131141
131.491	0.0	ROWE	10	131491
131.543	0.0	ROWS	11	131543
135.507	0.0	ROWE	10	135507
135.566	0.0	ROWS	11	135566
139.74	0.0	ROWE	10	139740
139.804	0.0	ROWS	11	139804
141.824	0.0	ROWE	10	141824
141.884	0.0	ROWS	11	141884
145.991	0.0	ROWE	10	145991
146.044	0.0	ROWS	11	146044
150.141	0.0	ROWE	10	150141
150.193	0.0	ROWS	11	150193
151.757	0.0	ROWE	10	151757
151.815	0.0	ROWS	11	151815
155.991	0.0	ROWE	10	155991
156.047	0.0	ROWS	11	156047
160.157	0.0	ROWE	10	160157
160.218	0.0	ROWS	11	160218
161.824	0.0	ROWE	10	161824
161.882	0.0	ROWS	11	161882
166.007	0.0	ROWE	10	166007
166.065	0.0	ROWS	11	166065
170.24	0.0	ROWE	10	170240
170.302	0.0	ROWS	11	170302
171.907	0.0	ROWE	10	171907
171.952	0.0	ROWS	11	171952
175.906	0.0	ROWE	10	175906
175.96	0.0	ROWS	11	175960
177.523	0.0	ROWE	10	177523
177.574	0.0	ROWS	11	177574
181.639	0.0	ROWE	10	181639
181.702	0.0	ROWS	11	181702
185.823	0.0	ROWE	10	185823
185.948	0.0	ROWS	11	185948
189.29	0.0	ROWE	10	189290
189.352	0.0	ROWS	11	189352
193.456	0.0	ROWE	10	193456
193.515	0.0	ROWS	11	193515
197.622	0.0	ROWE	10	197622
